
Going to calculate the following Fibonacci numbers (#:trials-number):
#0:1-10   #1:50-5   #2:40-43   #3:50-10   
Participating SHORTs:
#0:1366   #1:1367   #2:1368   #3:1369   
START PRINTING 150 SWITCHES:
===================================================================
     PREV-PID - NEXT-PID - PREV-POL - NEXT-POL -   TIME   -  REASON
105:     427  |    1359  |    OTHER |    OTHER |  392914  | STARTED WAITING
106:    1359  |     427  |    OTHER |    OTHER |  392914  | STARTED WAITING
107:     427  |    1359  |    OTHER |    OTHER |  392914  | STARTED WAITING
108:    1359  |     427  |    OTHER |    OTHER |  392914  | STARTED WAITING
109:    1359  |    1349  |    OTHER |    OTHER |  393011  | ENDED
110:    1349  |     427  |    OTHER |    OTHER |  393011  | STARTED WAITING
111:     427  |    1349  |    OTHER |    OTHER |  393011  | STARTED WAITING
112:    1349  |     427  |    OTHER |    OTHER |  393011  | STARTED WAITING
113:     427  |    1349  |    OTHER |    OTHER |  393011  | STARTED WAITING
114:    1349  |    1342  |    OTHER |    OTHER |  393011  | ENDED
115:    1342  |    1360  |    OTHER |    OTHER |  393011  | STARTED WAITING
116:    1360  |    1361  |    OTHER |    OTHER |  393011  | STARTED WAITING
117:    1361  |     988  |    OTHER |    OTHER |  393015  | HIGHER PRIO ARRIVED
118:     988  |    1361  |    OTHER |    OTHER |  393015  | STARTED WAITING
119:    1361  |    1360  |    OTHER |    OTHER |  393019  | ENDED
120:    1360  |    1362  |    OTHER |    OTHER |  393019  | STARTED WAITING
121:    1362  |    1360  |    OTHER |    OTHER |  393021  | ENDED
122:    1360  |    1363  |    OTHER |    OTHER |  393021  | STARTED WAITING
123:    1363  |    1364  |    OTHER |    OTHER |  393021  | STARTED WAITING
124:    1364  |    1363  |    OTHER |    OTHER |  393027  | ENDED
125:    1363  |    1360  |    OTHER |    OTHER |  393027  | ENDED
126:    1360  |    1342  |    OTHER |    OTHER |  393027  | ENDED
127:    1342  |    1365  |    OTHER |    OTHER |  393027  | STARTED WAITING
128:    1365  |    1366  |       RT |    SHORT |  393027  | STARTED WAITING
129:    1366  |    1365  |    SHORT |       RT |  393027  | ENDED
130:    1365  |    1367  |       RT |    SHORT |  393027  | STARTED WAITING
131:    1367  |    1365  |    SHORT |       RT |  393027  | ENDED
132:    1365  |    1368  |       RT |    SHORT |  393027  | STARTED WAITING
133:    1368  |    1369  |    SHORT |    SHORT |  393078  | OUT OF TIME
